,Location,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
6,Aldwych,Mirror Room,,51.517444492054985,-0.11782356015108676,Restaurant
7,Aldwych,Holborn Dining Room,,51.517493,-0.117541,English Restaurant
10,Aldwych,Barrafina,,51.51441724037805,-0.12176794571673841,Tapas Restaurant
17,Aldwych,The Delaunay,,51.513181,-0.117988,Restaurant
20,Aldwych,Abeno,,51.51744706211849,-0.1251682412880507,Okonomiyaki Restaurant
30,Aldwych,Fields Bar and Kitchen,,51.51595770940021,-0.11729185397782418,Restaurant
40,Aldwych,San Carlo Cicchetti,,51.5123863702639,-0.1204562150666614,Italian Restaurant
41,Aldwych,eat TOKYO,,51.5198487781593,-0.11741012093263553,Japanese Restaurant
43,Aldwych,The Bull Steak Expert,,51.51952,-0.11736,Argentinian Restaurant
46,Aldwych,Roka,,51.51331205048269,-0.11619353881481752,Japanese Restaurant
52,Aldwych,Zip Bab,,51.519764,-0.11744052,Korean Restaurant
57,Aldwych,Kimchee,,51.518207272666125,-0.11637996437944839,Korean Restaurant
60,Aldwych,Kintan Japanese BBQ,,51.518284498479716,-0.11356746644577884,Japanese Restaurant
61,Aldwych,Leon,,51.51830743473143,-0.11314668952101073,Fast Food Restaurant
67,Aldwych,Canton Element,,51.51993131275809,-0.11740834526324252,Chinese Restaurant
72,Aldwych,itsu,,51.5191,-0.115283,Sushi Restaurant
75,Aldwych,Isolabella,,51.52005130173656,-0.11745480418535845,Italian Restaurant
80,Aldwych,Sawadika,,51.5184798,-0.1168851,Thai Restaurant
82,Aldwych,Kam Fung,,51.519596009538596,-0.1171718651931687,Chinese Restaurant
89,Bayswater,Flavours of India,,51.51402166775144,-0.17853269139544528,Indian Restaurant
90,Bayswater,Tukdin,,51.51358538936537,-0.17931536338456916,Malay Restaurant
95,Bayswater,Halepi,,51.51135600949636,-0.18300473157266517,Greek Restaurant
97,Bayswater,Paramount Lebanese Kitchen,,51.51580118367818,-0.17468054259629798,Lebanese Restaurant
99,Bayswater,Terrace,,51.5131901450005,-0.183610005999583,Restaurant
100,Bayswater,Villa Rosa,,51.515017385116835,-0.1767365297518295,Italian Restaurant
105,Bayswater,The Kolossi,,51.51551172826341,-0.17414113718279894,Greek Restaurant
108,Bayswater,Angelus Restaurant,,51.51283636752739,-0.17472446070988504,French Restaurant
112,Bayswater,Bizzarro,,51.51485463610408,-0.1770373192428958,Italian Restaurant
132,Bayswater,Chicken Cottage,,51.51657475853722,-0.17392752167095993,Fast Food Restaurant
138,Bayswater,Pearl Liang,,51.5193318246448,-0.18010034002650005,Dim Sum Restaurant
145,Bayswater,London Shell Co,,51.51917,-0.179218,Seafood Restaurant
148,Bayswater,Bel Canto,,51.5114951850404,-0.17731897598065405,French Restaurant
152,Bayswater,Island Grill,,51.51165972278032,-0.17579533937587746,Restaurant
153,Bayswater,itsu,,51.51938009039222,-0.18007862154315266,Sushi Restaurant
159,Bayswater,Taormina,,51.51263600529419,-0.17861211379769681,Italian Restaurant
160,Bayswater,Lolita,,51.515098128994985,-0.17614254700655552,Turkish Restaurant
168,Bayswater,ASK Italian,,51.514495556507114,-0.17503490882381811,Italian Restaurant
171,Bayswater,Olio's Brasserie,,51.511574700965,-0.1774741184759031,Restaurant
179,Bayswater,Le Gourmet,,51.516131722377914,-0.17472084395493653,Falafel Restaurant
180,Bayswater,Thai River Restaurant,,51.51599496608459,-0.17873528643894107,Thai Restaurant
189,Belgravia,Chez Antoinette,,51.497964,-0.135455,French Restaurant
190,Belgravia,Quilon,,51.49877248841534,-0.13752218091498283,Indian Restaurant
197,Belgravia,itsu,,51.496860817642194,-0.1408380836925805,Sushi Restaurant
198,Belgravia,Ibérica Victoria,,51.497293464802745,-0.13812744994461612,Tapas Restaurant
208,Belgravia,Lime Orange,,51.49549645186136,-0.1421165432571259,Korean Restaurant
213,Belgravia,Leon,,51.497495327145884,-0.13646401454610851,Fast Food Restaurant
218,Belgravia,The Ivy,,51.497231,-0.137959,Restaurant
220,Belgravia,Gustoso Ristorante & Enoteca,,51.49358729398895,-0.13861902430245143,Italian Restaurant
223,Belgravia,The English Rose Cafe And Tea Shop,,51.49814421938066,-0.14443666192968085,English Restaurant
224,Belgravia,wagamama,,51.497189,-0.140604,Asian Restaurant
228,Belgravia,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
229,Belgravia,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
231,Belgravia,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
240,Belgravia,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
244,Belgravia,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
248,Belgravia,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
249,Belgravia,A Wong,,51.493054,-0.140799,Chinese Restaurant
260,Belgravia,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
263,Belgravia,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
264,Belgravia,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
268,Belgravia,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
269,Belgravia,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
276,Belgravia,Laos Cafe,,51.493768,-0.141835,Restaurant
279,Belgravia,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
280,Belgravia,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
287,Charing Cross,Mirror Room,,51.517444492054985,-0.11782356015108676,Restaurant
288,Charing Cross,Holborn Dining Room,,51.517493,-0.117541,English Restaurant
291,Charing Cross,Barrafina,,51.51441724037805,-0.12176794571673841,Tapas Restaurant
298,Charing Cross,The Delaunay,,51.513181,-0.117988,Restaurant
301,Charing Cross,Abeno,,51.51744706211849,-0.1251682412880507,Okonomiyaki Restaurant
311,Charing Cross,Fields Bar and Kitchen,,51.51595770940021,-0.11729185397782418,Restaurant
321,Charing Cross,San Carlo Cicchetti,,51.5123863702639,-0.1204562150666614,Italian Restaurant
322,Charing Cross,eat TOKYO,,51.5198487781593,-0.11741012093263553,Japanese Restaurant
324,Charing Cross,The Bull Steak Expert,,51.51952,-0.11736,Argentinian Restaurant
327,Charing Cross,Roka,,51.51331205048269,-0.11619353881481752,Japanese Restaurant
333,Charing Cross,Zip Bab,,51.519764,-0.11744052,Korean Restaurant
338,Charing Cross,Kimchee,,51.518207272666125,-0.11637996437944839,Korean Restaurant
341,Charing Cross,Kintan Japanese BBQ,,51.518284498479716,-0.11356746644577884,Japanese Restaurant
342,Charing Cross,Leon,,51.51830743473143,-0.11314668952101073,Fast Food Restaurant
348,Charing Cross,Canton Element,,51.51993131275809,-0.11740834526324252,Chinese Restaurant
353,Charing Cross,itsu,,51.5191,-0.115283,Sushi Restaurant
356,Charing Cross,Isolabella,,51.52005130173656,-0.11745480418535845,Italian Restaurant
361,Charing Cross,Sawadika,,51.5184798,-0.1168851,Thai Restaurant
363,Charing Cross,Kam Fung,,51.519596009538596,-0.1171718651931687,Chinese Restaurant
392,Chinatown,Zoilo,,51.51599484488055,-0.1522596937262326,Argentinian Restaurant
393,Chinatown,Le Relais de Venise L’Entrecôte,,51.51810447945907,-0.15106168619426952,French Restaurant
395,Chinatown,Roux at The Landau,,51.51793233997872,-0.14365076499507268,French Restaurant
399,Chinatown,Sushiology,,51.514629,-0.150344,Sushi Restaurant
406,Chinatown,Busaba Eathai,,51.514590382958254,-0.1508559874082021,Thai Restaurant
417,Chinatown,La Petite Maison,,51.51260007693624,-0.14611300853997983,French Restaurant
428,Chinatown,Bar Remo,,51.514574423902545,-0.14240433800825497,Italian Restaurant
432,Chinatown,Sushi Atelier,,51.51939013762405,-0.1424600291908215,Sushi Restaurant
451,Chinatown,Burger & Lobster,,51.51727050476959,-0.14093635138153907,Seafood Restaurant
453,Chinatown,Trishna,,51.518519713782545,-0.15306274429022426,Indian Restaurant
455,Chinatown,Jikoni,,51.518476906375064,-0.15321347237821617,Indian Restaurant
457,Chinatown,Neat Burger,,51.51458,-0.1426476,Vegetarian / Vegan Restaurant
465,Chinatown,Roganic,,51.51848292639138,-0.15324839033636542,Restaurant
472,Covent Garden,Mirror Room,,51.517444492054985,-0.11782356015108676,Restaurant
473,Covent Garden,Holborn Dining Room,,51.517493,-0.117541,English Restaurant
476,Covent Garden,Barrafina,,51.51441724037805,-0.12176794571673841,Tapas Restaurant
483,Covent Garden,The Delaunay,,51.513181,-0.117988,Restaurant
486,Covent Garden,Abeno,,51.51744706211849,-0.1251682412880507,Okonomiyaki Restaurant
496,Covent Garden,Fields Bar and Kitchen,,51.51595770940021,-0.11729185397782418,Restaurant
506,Covent Garden,San Carlo Cicchetti,,51.5123863702639,-0.1204562150666614,Italian Restaurant
507,Covent Garden,eat TOKYO,,51.5198487781593,-0.11741012093263553,Japanese Restaurant
509,Covent Garden,The Bull Steak Expert,,51.51952,-0.11736,Argentinian Restaurant
512,Covent Garden,Roka,,51.51331205048269,-0.11619353881481752,Japanese Restaurant
518,Covent Garden,Zip Bab,,51.519764,-0.11744052,Korean Restaurant
523,Covent Garden,Kimchee,,51.518207272666125,-0.11637996437944839,Korean Restaurant
526,Covent Garden,Kintan Japanese BBQ,,51.518284498479716,-0.11356746644577884,Japanese Restaurant
527,Covent Garden,Leon,,51.51830743473143,-0.11314668952101073,Fast Food Restaurant
533,Covent Garden,Canton Element,,51.51993131275809,-0.11740834526324252,Chinese Restaurant
538,Covent Garden,itsu,,51.5191,-0.115283,Sushi Restaurant
541,Covent Garden,Isolabella,,51.52005130173656,-0.11745480418535845,Italian Restaurant
546,Covent Garden,Sawadika,,51.5184798,-0.1168851,Thai Restaurant
548,Covent Garden,Kam Fung,,51.519596009538596,-0.1171718651931687,Chinese Restaurant
555,Knightsbridge,Chez Antoinette,,51.497964,-0.135455,French Restaurant
556,Knightsbridge,Quilon,,51.49877248841534,-0.13752218091498283,Indian Restaurant
563,Knightsbridge,itsu,,51.496860817642194,-0.1408380836925805,Sushi Restaurant
564,Knightsbridge,Ibérica Victoria,,51.497293464802745,-0.13812744994461612,Tapas Restaurant
574,Knightsbridge,Lime Orange,,51.49549645186136,-0.1421165432571259,Korean Restaurant
579,Knightsbridge,Leon,,51.497495327145884,-0.13646401454610851,Fast Food Restaurant
584,Knightsbridge,The Ivy,,51.497231,-0.137959,Restaurant
586,Knightsbridge,Gustoso Ristorante & Enoteca,,51.49358729398895,-0.13861902430245143,Italian Restaurant
589,Knightsbridge,The English Rose Cafe And Tea Shop,,51.49814421938066,-0.14443666192968085,English Restaurant
590,Knightsbridge,wagamama,,51.497189,-0.140604,Asian Restaurant
594,Knightsbridge,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
595,Knightsbridge,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
597,Knightsbridge,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
606,Knightsbridge,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
610,Knightsbridge,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
614,Knightsbridge,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
615,Knightsbridge,A Wong,,51.493054,-0.140799,Chinese Restaurant
626,Knightsbridge,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
629,Knightsbridge,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
630,Knightsbridge,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
634,Knightsbridge,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
635,Knightsbridge,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
642,Knightsbridge,Laos Cafe,,51.493768,-0.141835,Restaurant
645,Knightsbridge,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
646,Knightsbridge,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
653,Lisson Grove,Chicken Shop & Dirty Burger,,51.53354261273544,-0.17023160361590203,Fast Food Restaurant
655,Lisson Grove,The Ivy Cafe,,51.5335088055217,-0.170525809537556,Modern European Restaurant
656,Lisson Grove,Soutine,,51.53224,-0.168904,French Restaurant
657,Lisson Grove,Drunch,,51.53502908352613,-0.1688285512900551,Restaurant
663,Lisson Grove,The Gate St John’s Wood,,51.533726,-0.169378,Vegetarian / Vegan Restaurant
674,Lisson Grove,Fora,,51.533688843402196,-0.17207438068713288,Turkish Restaurant
677,Lisson Grove,Mori,,51.532949210342586,-0.16980218739412917,Japanese Restaurant
679,Lisson Grove,Sahara Lebanese Restaurant,,51.532429435437884,-0.16937507920461953,Lebanese Restaurant
683,Little Venice,Tsiakkos & Charcoal,,51.52331382981037,-0.1945385570307625,Greek Restaurant
684,Little Venice,Dhaba@49,,51.525158,-0.197192,Indian Restaurant
686,Little Venice,Mosob,,51.5239665827367,-0.20083993257849977,Ethiopian Restaurant
689,Little Venice,Pars Persian Restaurant,,51.52315356935242,-0.19559508239120887,Middle Eastern Restaurant
693,Little Venice,Murasaki,,51.527488,-0.189205,Japanese Restaurant
696,Little Venice,Les Douceurs De La Tentation,,51.524711,-0.201406,French Restaurant
698,Little Venice,Da Daniela Italian Canteen,,51.52416348452282,-0.1885873607853333,Italian Restaurant
699,Little Venice,The Cedar,,51.52823298225565,-0.2012283200881071,Lebanese Restaurant
706,Little Venice,Sam's Chicken,,51.52444201673815,-0.2018918921077805,Fast Food Restaurant
707,Little Venice,Maida Vale Tandoori,,51.52514345,-0.1973105,Indian Restaurant
713,Little Venice,Momtaz Shisha Cafe & Restaurant,,51.527728703273816,-0.19694272234268165,Mediterranean Restaurant
721,Maida Vale,Tsiakkos & Charcoal,,51.52331382981037,-0.1945385570307625,Greek Restaurant
722,Maida Vale,Dhaba@49,,51.525158,-0.197192,Indian Restaurant
724,Maida Vale,Mosob,,51.5239665827367,-0.20083993257849977,Ethiopian Restaurant
727,Maida Vale,Pars Persian Restaurant,,51.52315356935242,-0.19559508239120887,Middle Eastern Restaurant
731,Maida Vale,Murasaki,,51.527488,-0.189205,Japanese Restaurant
734,Maida Vale,Les Douceurs De La Tentation,,51.524711,-0.201406,French Restaurant
736,Maida Vale,Da Daniela Italian Canteen,,51.52416348452282,-0.1885873607853333,Italian Restaurant
737,Maida Vale,The Cedar,,51.52823298225565,-0.2012283200881071,Lebanese Restaurant
