,Location,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
744,Maida Vale,Sam's Chicken,,51.52444201673815,-0.2018918921077805,Fast Food Restaurant
745,Maida Vale,Maida Vale Tandoori,,51.52514345,-0.1973105,Indian Restaurant
751,Maida Vale,Momtaz Shisha Cafe & Restaurant,,51.527728703273816,-0.19694272234268165,Mediterranean Restaurant
785,Marylebone,Zoilo,,51.51599484488055,-0.1522596937262326,Argentinian Restaurant
786,Marylebone,Le Relais de Venise L’Entrecôte,,51.51810447945907,-0.15106168619426952,French Restaurant
788,Marylebone,Roux at The Landau,,51.51793233997872,-0.14365076499507268,French Restaurant
792,Marylebone,Sushiology,,51.514629,-0.150344,Sushi Restaurant
799,Marylebone,Busaba Eathai,,51.514590382958254,-0.1508559874082021,Thai Restaurant
810,Marylebone,La Petite Maison,,51.51260007693624,-0.14611300853997983,French Restaurant
821,Marylebone,Bar Remo,,51.514574423902545,-0.14240433800825497,Italian Restaurant
825,Marylebone,Sushi Atelier,,51.51939013762405,-0.1424600291908215,Sushi Restaurant
844,Marylebone,Burger & Lobster,,51.51727050476959,-0.14093635138153907,Seafood Restaurant
846,Marylebone,Trishna,,51.518519713782545,-0.15306274429022426,Indian Restaurant
848,Marylebone,Jikoni,,51.518476906375064,-0.15321347237821617,Indian Restaurant
850,Marylebone,Neat Burger,,51.51458,-0.1426476,Vegetarian / Vegan Restaurant
858,Marylebone,Roganic,,51.51848292639138,-0.15324839033636542,Restaurant
885,Mayfair,Zoilo,,51.51599484488055,-0.1522596937262326,Argentinian Restaurant
886,Mayfair,Le Relais de Venise L’Entrecôte,,51.51810447945907,-0.15106168619426952,French Restaurant
888,Mayfair,Roux at The Landau,,51.51793233997872,-0.14365076499507268,French Restaurant
892,Mayfair,Sushiology,,51.514629,-0.150344,Sushi Restaurant
899,Mayfair,Busaba Eathai,,51.514590382958254,-0.1508559874082021,Thai Restaurant
910,Mayfair,La Petite Maison,,51.51260007693624,-0.14611300853997983,French Restaurant
921,Mayfair,Bar Remo,,51.514574423902545,-0.14240433800825497,Italian Restaurant
925,Mayfair,Sushi Atelier,,51.51939013762405,-0.1424600291908215,Sushi Restaurant
944,Mayfair,Burger & Lobster,,51.51727050476959,-0.14093635138153907,Seafood Restaurant
946,Mayfair,Trishna,,51.518519713782545,-0.15306274429022426,Indian Restaurant
948,Mayfair,Jikoni,,51.518476906375064,-0.15321347237821617,Indian Restaurant
950,Mayfair,Neat Burger,,51.51458,-0.1426476,Vegetarian / Vegan Restaurant
958,Mayfair,Roganic,,51.51848292639138,-0.15324839033636542,Restaurant
963,Millbank,Chez Antoinette,,51.497964,-0.135455,French Restaurant
964,Millbank,Quilon,,51.49877248841534,-0.13752218091498283,Indian Restaurant
971,Millbank,itsu,,51.496860817642194,-0.1408380836925805,Sushi Restaurant
972,Millbank,Ibérica Victoria,,51.497293464802745,-0.13812744994461612,Tapas Restaurant
982,Millbank,Lime Orange,,51.49549645186136,-0.1421165432571259,Korean Restaurant
987,Millbank,Leon,,51.497495327145884,-0.13646401454610851,Fast Food Restaurant
992,Millbank,The Ivy,,51.497231,-0.137959,Restaurant
994,Millbank,Gustoso Ristorante & Enoteca,,51.49358729398895,-0.13861902430245143,Italian Restaurant
997,Millbank,The English Rose Cafe And Tea Shop,,51.49814421938066,-0.14443666192968085,English Restaurant
998,Millbank,wagamama,,51.497189,-0.140604,Asian Restaurant
1002,Millbank,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
1003,Millbank,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
1005,Millbank,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
1014,Millbank,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
1018,Millbank,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
1022,Millbank,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
1023,Millbank,A Wong,,51.493054,-0.140799,Chinese Restaurant
1034,Millbank,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
1037,Millbank,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
1038,Millbank,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
1042,Millbank,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
1043,Millbank,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
1050,Millbank,Laos Cafe,,51.493768,-0.141835,Restaurant
1053,Millbank,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
1054,Millbank,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
1059,Paddington,Flavours of India,,51.51402166775144,-0.17853269139544528,Indian Restaurant
1060,Paddington,Tukdin,,51.51358538936537,-0.17931536338456916,Malay Restaurant
1065,Paddington,Halepi,,51.51135600949636,-0.18300473157266517,Greek Restaurant
1067,Paddington,Paramount Lebanese Kitchen,,51.51580118367818,-0.17468054259629798,Lebanese Restaurant
1069,Paddington,Terrace,,51.5131901450005,-0.183610005999583,Restaurant
1070,Paddington,Villa Rosa,,51.515017385116835,-0.1767365297518295,Italian Restaurant
1075,Paddington,The Kolossi,,51.51551172826341,-0.17414113718279894,Greek Restaurant
1078,Paddington,Angelus Restaurant,,51.51283636752739,-0.17472446070988504,French Restaurant
1082,Paddington,Bizzarro,,51.51485463610408,-0.1770373192428958,Italian Restaurant
1102,Paddington,Chicken Cottage,,51.51657475853722,-0.17392752167095993,Fast Food Restaurant
1108,Paddington,Pearl Liang,,51.5193318246448,-0.18010034002650005,Dim Sum Restaurant
1115,Paddington,London Shell Co,,51.51917,-0.179218,Seafood Restaurant
1118,Paddington,Bel Canto,,51.5114951850404,-0.17731897598065405,French Restaurant
1122,Paddington,Island Grill,,51.51165972278032,-0.17579533937587746,Restaurant
1123,Paddington,itsu,,51.51938009039222,-0.18007862154315266,Sushi Restaurant
1129,Paddington,Taormina,,51.51263600529419,-0.17861211379769681,Italian Restaurant
1130,Paddington,Lolita,,51.515098128994985,-0.17614254700655552,Turkish Restaurant
1138,Paddington,ASK Italian,,51.514495556507114,-0.17503490882381811,Italian Restaurant
1141,Paddington,Olio's Brasserie,,51.511574700965,-0.1774741184759031,Restaurant
1149,Paddington,Le Gourmet,,51.516131722377914,-0.17472084395493653,Falafel Restaurant
1150,Paddington,Thai River Restaurant,,51.51599496608459,-0.17873528643894107,Thai Restaurant
1159,Pimlico,Chez Antoinette,,51.497964,-0.135455,French Restaurant
1160,Pimlico,Quilon,,51.49877248841534,-0.13752218091498283,Indian Restaurant
1167,Pimlico,itsu,,51.496860817642194,-0.1408380836925805,Sushi Restaurant
1168,Pimlico,Ibérica Victoria,,51.497293464802745,-0.13812744994461612,Tapas Restaurant
1178,Pimlico,Lime Orange,,51.49549645186136,-0.1421165432571259,Korean Restaurant
1183,Pimlico,Leon,,51.497495327145884,-0.13646401454610851,Fast Food Restaurant
1188,Pimlico,The Ivy,,51.497231,-0.137959,Restaurant
1190,Pimlico,Gustoso Ristorante & Enoteca,,51.49358729398895,-0.13861902430245143,Italian Restaurant
1193,Pimlico,The English Rose Cafe And Tea Shop,,51.49814421938066,-0.14443666192968085,English Restaurant
1194,Pimlico,wagamama,,51.497189,-0.140604,Asian Restaurant
1198,Pimlico,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
1199,Pimlico,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
1201,Pimlico,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
1210,Pimlico,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
1214,Pimlico,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
1218,Pimlico,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
1219,Pimlico,A Wong,,51.493054,-0.140799,Chinese Restaurant
1230,Pimlico,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
1233,Pimlico,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
1234,Pimlico,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
1238,Pimlico,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
1239,Pimlico,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
1246,Pimlico,Laos Cafe,,51.493768,-0.141835,Restaurant
1249,Pimlico,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
1250,Pimlico,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
1277,Soho,Zoilo,,51.51599484488055,-0.1522596937262326,Argentinian Restaurant
1278,Soho,Le Relais de Venise L’Entrecôte,,51.51810447945907,-0.15106168619426952,French Restaurant
1280,Soho,Roux at The Landau,,51.51793233997872,-0.14365076499507268,French Restaurant
1284,Soho,Sushiology,,51.514629,-0.150344,Sushi Restaurant
1291,Soho,Busaba Eathai,,51.514590382958254,-0.1508559874082021,Thai Restaurant
1302,Soho,La Petite Maison,,51.51260007693624,-0.14611300853997983,French Restaurant
1313,Soho,Bar Remo,,51.514574423902545,-0.14240433800825497,Italian Restaurant
1317,Soho,Sushi Atelier,,51.51939013762405,-0.1424600291908215,Sushi Restaurant
1336,Soho,Burger & Lobster,,51.51727050476959,-0.14093635138153907,Seafood Restaurant
1338,Soho,Trishna,,51.518519713782545,-0.15306274429022426,Indian Restaurant
1340,Soho,Jikoni,,51.518476906375064,-0.15321347237821617,Indian Restaurant
1342,Soho,Neat Burger,,51.51458,-0.1426476,Vegetarian / Vegan Restaurant
1350,Soho,Roganic,,51.51848292639138,-0.15324839033636542,Restaurant
1355,St James's,Chez Antoinette,,51.497964,-0.135455,French Restaurant
1356,St James's,Quilon,,51.49877248841534,-0.13752218091498283,Indian Restaurant
1363,St James's,itsu,,51.496860817642194,-0.1408380836925805,Sushi Restaurant
1364,St James's,Ibérica Victoria,,51.497293464802745,-0.13812744994461612,Tapas Restaurant
1374,St James's,Lime Orange,,51.49549645186136,-0.1421165432571259,Korean Restaurant
1379,St James's,Leon,,51.497495327145884,-0.13646401454610851,Fast Food Restaurant
1384,St James's,The Ivy,,51.497231,-0.137959,Restaurant
1386,St James's,Gustoso Ristorante & Enoteca,,51.49358729398895,-0.13861902430245143,Italian Restaurant
1389,St James's,The English Rose Cafe And Tea Shop,,51.49814421938066,-0.14443666192968085,English Restaurant
1390,St James's,wagamama,,51.497189,-0.140604,Asian Restaurant
1394,St James's,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
1395,St James's,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
1397,St James's,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
1406,St James's,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
1410,St James's,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
1414,St James's,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
1415,St James's,A Wong,,51.493054,-0.140799,Chinese Restaurant
1426,St James's,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
1429,St James's,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
1430,St James's,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
1434,St James's,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
1435,St James's,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
1442,St James's,Laos Cafe,,51.493768,-0.141835,Restaurant
1445,St James's,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
1446,St James's,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
1453,St John's Wood,Chicken Shop & Dirty Burger,,51.53354261273544,-0.17023160361590203,Fast Food Restaurant
1455,St John's Wood,The Ivy Cafe,,51.5335088055217,-0.170525809537556,Modern European Restaurant
1456,St John's Wood,Soutine,,51.53224,-0.168904,French Restaurant
1457,St John's Wood,Drunch,,51.53502908352613,-0.1688285512900551,Restaurant
1463,St John's Wood,The Gate St John’s Wood,,51.533726,-0.169378,Vegetarian / Vegan Restaurant
1474,St John's Wood,Fora,,51.533688843402196,-0.17207438068713288,Turkish Restaurant
1477,St John's Wood,Mori,,51.532949210342586,-0.16980218739412917,Japanese Restaurant
1479,St John's Wood,Sahara Lebanese Restaurant,,51.532429435437884,-0.16937507920461953,Lebanese Restaurant
1487,Westminster,Chez Antoinette,,51.497964,-0.135455,French Restaurant
1488,Westminster,Quilon,,51.49877248841534,-0.13752218091498283,Indian Restaurant
1495,Westminster,itsu,,51.496860817642194,-0.1408380836925805,Sushi Restaurant
1496,Westminster,Ibérica Victoria,,51.497293464802745,-0.13812744994461612,Tapas Restaurant
1506,Westminster,Lime Orange,,51.49549645186136,-0.1421165432571259,Korean Restaurant
1511,Westminster,Leon,,51.497495327145884,-0.13646401454610851,Fast Food Restaurant
1516,Westminster,The Ivy,,51.497231,-0.137959,Restaurant
1518,Westminster,Gustoso Ristorante & Enoteca,,51.49358729398895,-0.13861902430245143,Italian Restaurant
1521,Westminster,The English Rose Cafe And Tea Shop,,51.49814421938066,-0.14443666192968085,English Restaurant
1522,Westminster,wagamama,,51.497189,-0.140604,Asian Restaurant
1526,Westminster,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
1527,Westminster,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
1529,Westminster,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
1538,Westminster,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
1542,Westminster,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
1546,Westminster,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
1547,Westminster,A Wong,,51.493054,-0.140799,Chinese Restaurant
1558,Westminster,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
1561,Westminster,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
1562,Westminster,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
1566,Westminster,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
1567,Westminster,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
1574,Westminster,Laos Cafe,,51.493768,-0.141835,Restaurant
1577,Westminster,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
1578,Westminster,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
